,carat,cut,color,clarity,depth,table,volume
251,0.81,Good,G,SI2,61.0,61.0,129.51
252,0.63,Premium,E,VVS2,62.1,57.0,100.21
253,0.63,Premium,E,VVS1,60.9,60.0,103.24
254,0.77,Premium,H,VS1,61.3,60.0,125.24
256,0.64,Ideal,G,IF,61.3,56.0,105.41
257,0.76,Premium,I,VVS1,58.8,59.0,125.1
258,0.83,Ideal,F,SI2,62.3,55.0,136.94
259,0.71,Premium,F,VS1,60.1,62.0,114.59
260,0.71,Premium,F,VS1,61.8,59.0,115.09
261,0.87,Very Good,I,SI1,63.6,55.8,143.29
262,0.73,Ideal,E,SI1,62.2,56.0,118.77
263,0.71,Premium,E,SI1,59.2,59.0,118.21
264,0.71,Premium,E,SI1,61.8,59.0,116.02
265,0.71,Ideal,E,SI1,61.3,55.0,116.18
266,0.7,Premium,F,VS1,62.1,60.0,113.88
267,0.7,Premium,F,VS1,60.7,60.0,116.32
268,0.76,Premium,H,VVS2,59.6,57.0,121.56
269,0.7,Ideal,F,VS1,62.2,56.0,115.54
270,0.79,Very Good,G,SI1,60.6,57.0,132.27
271,0.7,Very Good,E,VS2,62.9,57.0,114.97
272,0.7,Good,E,VS2,64.1,55.0,114.42
273,0.76,Ideal,I,VS2,61.3,56.0,125.24
274,0.73,Ideal,H,VS2,62.7,55.0,118.61
275,0.79,Very Good,E,SI1,63.2,56.0,128.83
276,0.71,Very Good,E,VS2,60.7,56.0,119.36
277,0.81,Premium,I,VVS2,61.9,60.0,126.06
278,0.81,Ideal,F,SI2,62.6,55.0,131.25
279,0.72,Good,F,VS1,60.7,60.0,114.26
280,0.72,Premium,D,SI2,62.0,60.0,115.42
281,0.72,Premium,I,IF,63.0,57.0,117.37
283,0.72,Premium,G,VS2,62.9,57.0,115.9
284,1.0,Premium,I,SI2,58.2,60.0,165.82
285,0.73,Good,E,SI1,63.2,58.0,118.85
286,0.81,Very Good,H,SI2,61.3,59.0,130.66
287,0.81,Very Good,E,SI1,60.3,60.0,135.89
288,0.71,Premium,D,SI1,62.7,60.0,115.58
289,0.71,Premium,D,SI1,61.3,58.0,115.98
290,0.71,Premium,D,SI1,61.6,60.0,114.97
291,0.57,Ideal,F,VVS2,61.9,55.0,94.56
292,0.51,Ideal,D,VVS1,61.7,56.0,83.75
293,0.72,Ideal,G,VS2,61.9,58.0,116.76
294,0.74,Ideal,H,VS1,61.8,58.0,120.01
295,0.74,Ideal,H,VS1,61.6,56.0,121.05
297,0.8,Premium,F,SI2,61.0,57.0,133.0
299,0.8,Very Good,H,VS2,63.4,60.0,128.17
300,0.77,Ideal,I,VS1,61.5,59.0,125.58
302,0.82,Ideal,F,SI2,62.4,54.0,134.41
303,0.78,Ideal,D,SI1,61.9,57.0,126.06
304,0.6,Very Good,G,IF,61.6,56.0,99.32
305,0.9,Good,I,SI2,62.2,59.0,140.56
306,0.7,Premium,E,VS1,62.2,58.0,110.94
307,0.9,Very Good,I,SI2,61.3,56.0,146.07
308,0.83,Ideal,G,SI1,62.3,57.0,136.94
309,0.83,Ideal,G,SI1,61.8,57.0,136.89
310,0.83,Very Good,H,SI1,62.5,59.0,133.96
311,0.74,Premium,G,VS1,62.9,60.0,117.05
312,0.79,Ideal,I,VS1,61.8,59.0,129.27
313,0.61,Ideal,G,IF,62.3,56.0,100.32
315,0.96,Ideal,F,I1,60.7,55.0,158.43
316,0.73,Ideal,F,VS2,62.5,55.0,120.6
317,0.73,Premium,F,VS2,62.7,58.0,117.87
318,0.75,Ideal,H,SI1,60.4,57.0,126.88
319,0.71,Premium,F,VS2,62.1,58.0,114.09
321,0.71,Good,F,VS2,63.8,58.0,113.59
322,0.71,Premium,F,VS2,62.8,57.0,114.25
323,1.04,Premium,G,I1,62.2,58.0,165.63
324,1.0,Premium,J,SI2,62.3,58.0,162.75
325,0.87,Very Good,G,SI2,59.9,58.0,143.46
326,0.53,Ideal,F,IF,61.9,54.0,88.79
327,0.72,Premium,E,VS2,63.0,55.0,116.61
328,0.72,Premium,F,VS1,62.4,58.0,119.63
329,0.7,Very Good,F,VS2,62.9,58.0,112.92
330,0.74,Very Good,E,SI1,63.5,56.0,121.64
331,0.71,Ideal,G,VS2,61.3,56.0,115.24
332,0.73,Ideal,E,SI1,60.6,54.0,122.11
333,0.7,Good,G,VS1,65.1,58.0,112.82
334,0.71,Premium,F,VS2,62.6,58.0,115.06
336,0.71,Premium,G,VS1,62.4,61.0,114.01
337,0.77,Premium,G,VS2,61.3,57.0,126.22
338,0.71,Premium,G,VS2,59.9,60.0,116.33
339,0.78,Premium,G,VS2,60.8,58.0,130.6
340,0.71,Very Good,G,VS1,63.5,55.0,114.6
341,0.91,Ideal,D,SI2,62.2,57.0,147.04
342,0.71,Very Good,E,VS2,63.8,58.0,114.51
343,0.71,Very Good,E,VS2,64.0,57.0,116.7
344,0.8,Very Good,E,SI2,62.5,56.0,129.67
345,0.7,Very Good,D,SI1,62.3,58.0,116.07
346,0.72,Ideal,F,VS1,61.7,57.0,117.58
347,0.72,Very Good,F,VS1,62.2,58.0,116.68
348,0.82,Ideal,H,VS2,61.5,56.0,135.93
349,0.7,Ideal,D,SI1,61.0,59.0,112.34
350,0.72,Ideal,D,SI1,62.2,56.0,118.57
351,0.72,Ideal,D,SI1,61.5,54.0,119.14
353,0.74,Premium,F,VS2,61.7,58.0,121.39
354,0.74,Premium,F,VS2,61.9,56.0,119.81
355,0.73,Ideal,E,SI2,61.8,58.0,120.01
357,0.73,Premium,F,VS2,62.5,57.0,117.33
358,0.72,Ideal,G,VS2,62.8,56.0,117.46
360,0.82,Good,G,VS2,64.0,57.0,131.8
361,0.81,Very Good,G,SI1,62.5,60.0,129.1
362,0.75,Very Good,H,VVS1,60.6,58.0,122.87
363,0.7,Ideal,F,SI1,61.6,55.0,115.9
364,0.71,Very Good,F,VS1,62.2,58.0,114.61
365,0.71,Very Good,F,VS1,60.0,57.0,121.29
366,0.93,Premium,J,SI2,61.9,57.0,147.61
367,0.8,Very Good,H,VS2,62.8,57.0,128.36
368,0.7,Very Good,F,VS1,62.0,57.0,113.36
370,0.75,Very Good,G,VS2,63.4,56.0,121.1
371,0.58,Ideal,E,VVS2,60.9,56.0,96.94
372,0.73,Very Good,D,SI1,63.1,57.0,118.11
373,0.81,Very Good,F,SI1,63.1,59.0,124.31
374,0.81,Premium,D,SI2,59.2,57.0,134.32
375,0.71,Premium,F,SI1,60.7,54.0,119.57
376,1.2,Fair,F,I1,64.6,56.0,194.08
377,0.7,Very Good,F,VS1,61.8,56.0,112.32
378,0.7,Very Good,F,VS1,59.9,60.0,117.26
379,0.74,Ideal,D,SI2,61.7,55.0,122.36
380,0.7,Good,F,VS1,62.8,61.0,109.68
381,0.8,Good,G,SI1,62.7,57.0,127.79
382,0.75,Very Good,F,SI1,63.4,58.0,119.93
383,0.83,Very Good,D,SI1,63.5,54.0,134.85
386,0.7,Very Good,G,VS1,63.0,60.0,110.89
387,0.7,Very Good,F,VS2,59.5,58.0,116.05
388,0.7,Good,E,SI1,63.5,59.0,106.26
389,0.7,Very Good,F,VS2,61.7,58.0,111.8
390,0.32,Premium,I,SI1,62.7,58.0,51.78
391,0.32,Premium,I,SI1,62.8,58.0,52.2
392,0.32,Ideal,I,SI1,62.4,57.0,51.71
393,0.32,Premium,I,SI1,61.0,59.0,51.1
394,0.32,Very Good,I,SI1,63.1,56.0,52.83
395,0.32,Ideal,I,SI1,60.7,57.0,53.34
396,0.3,Premium,H,SI1,60.9,59.0,48.44
397,0.3,Premium,H,SI1,60.1,55.0,50.99
398,0.3,Premium,H,SI1,62.9,58.0,48.63
399,0.3,Very Good,H,SI1,63.3,56.0,49.64
400,0.3,Good,H,SI1,63.8,55.0,48.31
401,0.3,Ideal,H,SI1,62.9,57.0,48.11
402,0.3,Very Good,H,SI1,63.4,60.0,48.36
403,0.32,Good,I,SI1,63.9,55.0,52.6
404,0.33,Ideal,H,SI2,61.4,56.0,68.53
405,0.29,Very Good,E,VS1,61.9,55.0,49.3
406,0.29,Very Good,E,VS1,62.4,55.0,46.95
407,0.31,Very Good,F,SI1,61.8,58.0,50.36
408,0.34,Ideal,H,VS2,61.5,56.0,55.52
409,0.34,Ideal,H,VS2,60.4,57.0,57.06
410,0.34,Ideal,I,VS1,61.8,55.0,56.29
411,0.34,Ideal,I,VS1,62.0,56.0,57.08
412,0.3,Ideal,G,VS1,62.3,56.0,49.55
413,0.29,Ideal,F,VS1,61.6,56.0,48.47
414,0.35,Ideal,G,SI1,60.6,56.0,57.85
415,0.43,Very Good,E,I1,58.4,62.0,71.63
416,0.32,Very Good,F,VS2,61.4,58.0,52.15
417,0.36,Ideal,I,VS2,61.9,56.0,58.51
418,0.3,Ideal,G,VS2,62.0,56.0,48.95
420,0.7,Very Good,F,VS2,62.3,58.0,114.2
421,0.7,Very Good,F,VS2,60.9,61.0,111.82
422,0.71,Ideal,D,SI1,62.4,57.0,115.87
424,0.73,Premium,E,VS2,58.6,60.0,120.65
425,0.51,Ideal,F,VVS1,62.0,57.0,83.69
426,0.91,Premium,G,SI2,59.8,58.0,149.39
427,0.84,Very Good,E,SI1,63.4,55.0,135.3
428,0.91,Good,I,VS2,64.3,58.0,143.69
429,0.76,Premium,E,SI1,62.2,59.0,123.59
430,0.76,Ideal,E,SI1,61.7,57.0,124.52
431,0.75,Premium,E,SI1,61.1,59.0,121.96
432,0.55,Very Good,D,VVS1,61.5,56.0,89.03
433,0.76,Very Good,F,SI2,58.5,62.0,124.38
434,0.74,Premium,G,VS1,61.7,58.0,120.43
435,0.7,Ideal,H,SI1,60.4,56.0,116.59
436,0.7,Ideal,H,SI1,61.4,56.0,115.57
437,0.7,Ideal,H,SI1,61.5,55.0,117.45
438,0.7,Ideal,H,SI1,61.4,56.0,116.51
439,0.9,Fair,J,VS2,65.0,56.0,144.69
441,0.89,Premium,H,SI2,60.2,59.0,146.64
442,0.72,Premium,E,VS2,58.3,58.0,123.05
444,1.02,Premium,G,I1,60.3,58.0,167.75
445,0.78,Very Good,I,VVS2,61.4,56.0,128.0
446,0.61,Ideal,G,VVS2,60.1,57.0,101.53
447,0.71,Good,D,VS1,63.4,55.0,114.28
448,0.78,Premium,F,SI1,61.5,59.0,127.56
449,0.87,Ideal,H,SI2,62.7,56.0,145.38
450,0.83,Ideal,H,SI1,62.5,55.0,136.26
451,0.71,Premium,E,SI1,61.3,56.0,116.91
452,0.71,Ideal,I,VVS2,60.2,56.0,121.42
453,0.71,Ideal,E,VS2,62.7,57.0,113.01
454,0.71,Premium,E,VS2,62.3,58.0,113.48
455,0.63,Ideal,F,VVS2,61.5,56.0,102.24
456,0.71,Premium,E,SI1,59.2,59.0,118.21
457,0.71,Premium,E,SI1,61.8,59.0,116.02
458,0.71,Ideal,E,SI1,61.3,55.0,116.18
459,0.71,Premium,E,SI1,61.4,58.0,116.71
460,0.9,Ideal,J,VS2,62.8,55.0,148.18
462,0.7,Premium,E,VS2,62.4,61.0,112.17
463,0.7,Premium,E,VS2,59.3,60.0,112.94
464,0.7,Premium,E,VS2,63.0,60.0,111.81
465,1.0,Premium,H,I1,61.3,60.0,161.47
466,0.86,Premium,F,SI2,59.3,62.0,147.56
467,0.8,Ideal,H,SI1,61.0,57.0,134.03
468,0.7,Ideal,E,VS1,62.9,57.0,112.4
469,0.7,Premium,E,VS1,59.6,57.0,120.59
470,0.7,Premium,F,VS2,61.8,60.0,112.32
471,0.7,Premium,E,VS1,62.7,57.0,113.72
472,1.0,Fair,H,SI2,65.3,62.0,158.31
473,0.72,Very Good,G,VS1,63.8,58.0,115.65
474,0.72,Ideal,H,VS1,62.3,56.0,118.36
475,0.7,Good,F,VS1,59.7,63.0,115.06
476,0.86,Good,F,SI2,64.3,60.0,136.05
477,0.71,Ideal,G,VS1,62.9,58.0,114.97
478,0.75,Ideal,E,SI1,62.0,57.0,120.35
479,0.73,Premium,E,VS2,61.6,59.0,117.04
480,0.53,Ideal,E,VVS1,61.9,55.0,87.24
481,0.73,Premium,E,SI1,61.3,58.0,119.21
482,0.73,Good,E,SI1,63.6,57.0,118.35
483,0.73,Premium,E,SI1,59.6,61.0,121.56
484,0.73,Premium,E,SI1,62.2,59.0,116.67
485,0.73,Premium,D,SI1,61.7,55.0,122.36
486,0.73,Very Good,E,SI1,63.2,58.0,118.85
487,0.7,Premium,E,VS1,60.8,60.0,114.06
488,0.72,Premium,E,VS2,60.3,59.0,118.89
489,0.72,Premium,E,VS2,60.9,60.0,117.6
490,0.72,Premium,E,VS2,62.4,59.0,117.74
491,0.7,Premium,E,VS2,60.2,60.0,112.35
492,0.6,Ideal,F,VVS2,62.0,55.0,96.85
493,0.74,Ideal,I,VVS1,60.8,57.0,123.01
494,0.73,Ideal,F,SI1,62.1,55.0,118.98
495,0.71,Premium,D,SI1,62.7,60.0,115.58
496,0.71,Premium,D,SI1,61.3,58.0,115.98
497,0.7,Premium,D,SI1,60.2,60.0,116.46
498,0.7,Ideal,D,SI1,60.7,56.0,114.46
499,0.9,Good,J,VS2,64.0,61.0,140.59
500,0.71,Ideal,D,SI1,60.2,56.0,120.26
501,0.7,Premium,E,VS2,61.5,59.0,114.24
502,0.7,Premium,E,VS2,62.6,56.0,115.05
503,0.7,Ideal,D,SI1,59.7,58.0,116.19
505,0.7,Ideal,D,SI1,62.5,57.0,110.27
506,0.7,Ideal,D,SI1,61.8,56.0,113.23
507,0.7,Premium,E,VS2,60.7,62.0,112.41
508,0.7,Premium,F,VS2,60.6,58.0,115.78
509,0.7,Ideal,D,SI1,61.4,54.0,115.57
510,0.79,Very Good,D,SI2,62.8,59.0,127.58
511,0.9,Good,I,SI1,63.8,57.0,144.5
512,0.71,Premium,E,VS2,62.3,58.0,114.41
513,0.61,Ideal,E,VVS2,61.3,54.0,104.72
515,0.71,Ideal,E,SI1,60.5,56.0,114.73
516,0.71,Premium,D,VS2,61.2,59.0,114.31
517,0.77,Ideal,I,VVS2,62.1,57.0,124.23
518,0.74,Good,E,VS1,63.1,58.0,119.27
519,0.82,Ideal,F,SI2,62.4,54.0,134.41
520,0.82,Premium,E,SI2,60.8,60.0,133.89
521,0.71,Premium,G,VS1,62.2,59.0,114.81
522,0.83,Premium,H,SI1,60.0,59.0,133.89
523,0.73,Very Good,G,VS1,62.0,57.0,119.39
524,0.83,Premium,H,SI1,62.5,59.0,133.96
525,1.17,Premium,J,I1,60.2,61.0,194.63
527,0.73,Premium,E,VS1,62.6,60.0,116.92
529,0.9,Premium,I,SI2,62.2,59.0,140.56
530,0.7,Premium,E,VS1,62.2,58.0,110.94
531,0.7,Very Good,D,VS2,63.3,56.0,110.62
532,0.7,Premium,E,VS1,59.4,61.0,113.47
533,0.9,Very Good,I,SI2,63.5,56.0,145.31
534,0.78,Premium,F,SI1,60.8,60.0,128.37
535,0.96,Ideal,F,I1,60.7,55.0,158.43
536,0.7,Very Good,D,SI1,62.3,59.0,114.41
537,0.72,Good,D,VS2,64.0,54.0,117.85
538,0.79,Premium,H,VVS2,62.6,58.0,130.46
539,0.7,Ideal,H,VVS1,61.6,57.0,114.97
540,0.7,Ideal,H,VVS1,62.3,55.0,114.21
541,0.7,Ideal,D,SI2,60.6,57.0,115.59
542,1.01,Premium,H,SI2,61.6,61.0,157.65
543,0.72,Premium,F,VS1,62.2,58.0,116.68
544,0.8,Good,E,SI2,63.7,54.0,130.09
545,0.59,Ideal,E,VVS1,62.0,56.0,96.03
546,0.72,Ideal,F,VS1,61.7,57.0,117.58
547,0.75,Premium,E,SI2,61.9,57.0,123.88
548,0.8,Premium,E,SI2,60.2,57.0,131.99
549,0.71,Very Good,E,VS2,62.7,59.0,114.65
550,0.77,Very Good,H,SI1,61.7,56.0,124.52
551,0.97,Ideal,F,I1,60.7,56.0,160.74
552,0.53,Ideal,F,VVS1,60.9,57.0,88.26
553,0.53,Ideal,F,VVS1,61.8,57.0,85.7
554,0.8,Ideal,I,VS2,62.1,54.4,131.65
555,0.9,Premium,G,SI1,60.6,62.0,142.37
556,0.76,Very Good,E,SI2,60.8,60.0,127.15
557,0.72,Ideal,E,SI1,62.3,57.0,117.21
558,0.75,Ideal,E,SI1,61.4,57.0,122.65
559,0.72,Premium,E,SI1,62.1,58.0,117.83
560,0.79,Ideal,G,SI1,61.8,56.0,128.27
561,0.72,Very Good,F,VS2,62.5,58.0,117.54
562,0.91,Very Good,I,SI2,62.8,61.0,147.09
563,0.71,Premium,G,VVS2,62.1,57.0,115.01
564,0.81,Premium,G,SI1,63.0,60.0,125.51
565,0.82,Ideal,H,SI1,62.5,57.0,130.9
566,0.71,Premium,F,VS1,62.2,58.0,114.61
567,0.9,Good,J,SI1,64.3,63.0,141.08
568,0.8,Very Good,I,VS2,62.0,58.0,127.61
569,0.56,Very Good,E,IF,61.0,59.0,91.35
570,0.7,Very Good,D,VS2,59.6,61.0,115.46
571,0.7,Ideal,D,VS2,61.0,57.0,116.05
572,0.61,Ideal,F,VVS2,61.7,55.0,100.65
573,0.85,Ideal,H,SI2,62.5,57.0,138.13
574,0.7,Ideal,F,SI1,60.7,57.0,114.99
575,0.8,Ideal,G,VS2,62.2,56.0,127.96
